ds,y
2007/12/10,1
2007/12/11,1
2007/12/12,2
2007/12/13,2
2007/12/14,1
2007/12/15,2
2007/12/16,6
2007/12/17,3
2007/12/18,2
2007/12/19,1
2007/12/20,1
2007/12/21,1
2007/12/22,5
2007/12/23,3
2007/12/24,1
2007/12/25,3
2007/12/26,14
2007/12/27,3
2007/12/28,1
2007/12/29,1
2007/12/30,3
2007/12/31,3
2008/1/1,7
2008/1/2,11
2008/1/3,1
2008/1/4,5
2008/1/5,10
2008/1/6,7
2008/1/7,8
2008/1/8,9
2008/1/9,2
2008/1/10,5
2008/1/11,4
2008/1/12,2
2008/1/13,4
2008/1/14,1
2008/1/15,4
2008/1/16,1
2008/1/17,1
2008/1/18,1
2008/1/19,12
2008/1/20,8
2008/1/21,7
2008/1/22,8
2008/1/23,1
2008/1/24,5
2008/1/25,3
2008/1/26,4
2008/1/27,6
2008/1/28,4
2008/1/29,2
2008/1/30,1
2008/2/1,8
2008/2/2,9
2008/2/3,8
2008/2/4,11
2008/2/5,11
2008/2/6,4
2008/2/7,2
2008/2/8,1
2008/2/9,1
2008/2/10,14
2008/2/11,2
2008/2/12,5
2008/2/13,5
2008/2/14,1
2008/2/15,2
2008/2/16,6
2008/2/17,4
2008/2/18,1
2008/2/19,3
2008/2/20,5
2008/2/21,1
2008/2/22,2
2008/2/23,21
2008/2/24,1
2008/2/25,8
2008/2/26,4
2008/2/27,3
2008/2/29,2
2008/3/2,1
2008/3/5,3
2008/3/6,4
2008/3/7,5
2008/3/8,6
2008/3/9,2
2008/3/10,6
2008/3/11,7
2008/3/12,5
2008/3/13,1
2008/3/14,7
2008/3/15,1
2008/3/16,14
2008/3/17,2
2008/3/18,2
2008/3/19,13
2008/3/20,5
2008/3/21,5
2008/3/22,1
2008/3/23,1
